county,facility_name,reporting_month,mental_health_prevalence,mental_health_burden_daly,patients_screened,patients_treated,treatment_gap,reporting_year,reporting_quarter,treatment_rate,unmet_need
Nairobi,Nairobi County Referral Hospital,2022-01-01,0.1324,4337.4,52,21,0.5962,2022,Q1,0.4038,31
Nairobi,Nairobi County Referral Hospital,2022-02-01,0.1324,4337.4,58,39,0.3276,2022,Q1,0.6724,19
Nairobi,Nairobi County Referral Hospital,2022-03-01,0.1324,4337.4,77,41,0.4675,2022,Q1,0.5325,36
Nairobi,Nairobi County Referral Hospital,2022-04-01,0.1324,4337.4,57,17,0.7018,2022,Q2,0.2982,40
Nairobi,Nairobi County Referral Hospital,2022-05-01,0.1324,4337.4,58,32,0.4483,2022,Q2,0.5517,26
Nairobi,Nairobi County Referral Hospital,2022-06-01,0.1324,4337.4,58,40,0.3103,2022,Q2,0.6897,18
Nairobi,Nairobi County Referral Hospital,2022-07-01,0.1324,4337.4,64,43,0.3281,2022,Q3,0.6719,21
Nairobi,Nairobi County Referral Hospital,2022-08-01,0.1324,4337.4,54,36,0.3333,2022,Q3,0.6667,18
Nairobi,Nairobi County Referral Hospital,2022-09-01,0.1324,4337.4,47,22,0.5319,2022,Q3,0.4681,25
Nairobi,Nairobi County Referral Hospital,2022-10-01,0.1324,4337.4,39,22,0.4359,2022,Q4,0.5641,17
Nairobi,Nairobi County Referral Hospital,2022-11-01,0.1324,4337.4,56,27,0.5179,2022,Q4,0.4821,29
Nairobi,Nairobi County Referral Hospital,2022-12-01,0.1324,4337.4,59,25,0.5763,2022,Q4,0.4237,34
Nairobi,Nairobi County Referral Hospital,2023-01-01,0.1324,4337.4,73,40,0.4521,2023,Q1,0.5479,33
Nairobi,Nairobi County Referral Hospital,2023-02-01,0.1324,4337.4,74,48,0.3514,2023,Q1,0.6486,26
Nairobi,Nairobi County Referral Hospital,2023-03-01,0.1324,4337.4,69,33,0.5217,2023,Q1,0.4783,36
Nairobi,Nairobi County Referral Hospital,2023-04-01,0.1324,4337.4,48,16,0.6667,2023,Q2,0.3333,32
